"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test case: Verify user cannot login with invalid credentials","3191","TC002 - Verify Login with invalid credentials","AutomationFramework","2026-07-03","passed","2026-07-03","LoginTests","AutomationFramework.Tests","LoginTests","TestLoginWithInvalidCredentials"
"Test case: Verify user can logout successfully","4462","TC006 - Verify Logout functionality","AutomationFramework","2026-07-03","passed","2026-07-03","LoginTests","AutomationFramework.Tests","LoginTests","TestLogout"
"Test case: Verify user can login with valid username and password","3865","TC001 - Verify Login with valid credentials","AutomationFramework","2026-07-03","passed","2026-07-03","LoginTests","AutomationFramework.Tests","LoginTests","TestLoginWithValidCredentials"
"Test case: Verify validation when username is empty","25398","TC003 - Verify Login with empty username","AutomationFramework","2026-07-03","passed","2026-07-03","LoginTests","AutomationFramework.Tests","LoginTests","TestLoginWithEmptyUsername"
