"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test case: Verify user can logout successfully","12775","TC006 - Verify Logout functionality","AutomationFramework","2026-07-05","broken","2026-07-05","LoginTests","AutomationFramework.Tests","LoginTests","TestLogout"
"Test case: Verify user can login with valid username and password","12815","TC001 - Verify Login with valid credentials","AutomationFramework","2026-07-05","broken","2026-07-05","LoginTests","AutomationFramework.Tests","LoginTests","TestLoginWithValidCredentials"
"Test case: Verify validation when username is empty","7034","TC003 - Verify Login with empty username","AutomationFramework","2026-07-05","passed","2026-07-05","LoginTests","AutomationFramework.Tests","LoginTests","TestLoginWithEmptyUsername"
"Test case: Verify user cannot login with invalid credentials","2753","TC002 - Verify Login with invalid credentials","AutomationFramework","2026-07-05","passed","2026-07-05","LoginTests","AutomationFramework.Tests","LoginTests","TestLoginWithInvalidCredentials"
